2025-05-28 12:55:39 680972 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.PBXInfo | AssignConfigItem: No records found from Service Discovery - Service Type : SIPTRUNK, Key : pbx.vdn     
2025-05-28 12:55:39 681741 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.PBXInfo | ValidatePBXInfo() : No records found for PBX Info     
2025-05-28 12:55:39 682208 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Starter | Start() : routepath = wq, supportmultiroutepath = false     
2025-05-28 12:55:39 706808 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.LicenseManager | ValidateLicense: The application is running as a release mode     
2025-05-28 12:55:39 770557 |(3d08775eec07)| DEBUG   |[1  ]| ExternalServiceConnector.Handlers.ExternalServiceHandler | GetLicenseDetails: Fetching license details from service discovery     
2025-05-28 12:55:40 653125 |(3d08775eec07)| DEBUG   |[1  ]| ExternalServiceConnector.Handlers.ExternalServiceHandler | LoggedServiceDiscoveryAddress: LicenseServer Service Discovery Addresses, Method = GetLicenseDetails, {"ServiceDiscoveryEnabled":true,"RefreshFrequency":15000,"EndPoints":[{"Id":"LicenseServer1","Url":"http://172.16.2.140:17000/LicenseServer/soap","CertificatePath":null,"CertificatePassword":null,"Protocol":null,"MaxReceivedMessageSize":0,"MaxBufferPoolSize":0,"Type":"LicenseServer","Channel":null,"Name":"LicenseServer","Properties":null}]}     
2025-05-28 12:55:40 674834 |(3d08775eec07)| DEBUG   |[1  ]| ExternalServiceConnector.Handlers.ExternalServiceHandler | GetLicenseDetails: All TComm Server records: [{"AgentScripting":null,"AgentVideoPopComponents":null,"CampaignManager":null,"ContactDetails":"Pertamina","DialerComponents":null,"EmailManagerComponent":null,"HostIntegraton":null,"Hostname":"WIN-479TLUVR4UF","IPAdddress":"172.16.2.140","InteractionWorkflow":null,"LicenseDescription":"Valid License","LicenseKey":null,"LicenseStatus":true,"MacAdddress":"08:00:27:9D:EA:8D","MaxSessionAllowed":10,"MediaRecorderComponents":null,"MediaServerComponents":null,"MediaServerProxyComponents":null,"ServerLicenseIssueDateTime":"2024-11-27T11:41:27.5362177+00:00","ServerLicenseIssuedto":"Pertamina","ServiceStatus":"[]","TcommProxyComponents":null,"TcommServerComponents":{"Channels":[1,2],"MaxConcurrentSessionCount":10,"ExpiryDateTime":"2025-11-27T11:41:27.5362177+00:00","IssueDateTime":"2024-11-27T11:41:27.5362177+00:00","LicenseDescription":"Valid License","LicenseStatus":true,"NumbeofInstances":1,"ProductKey":null},"TmacComponent":null}]     
2025-05-28 12:55:40 675606 |(3d08775eec07)| DEBUG   |[1  ]| ExternalServiceConnector.Handlers.ExternalServiceHandler | GetLicenseDetails: Filtered minimum concurrent session count record: {"Channels":[1,2],"MaxConcurrentSessionCount":10,"ExpiryDateTime":"2025-11-27T11:41:27.5362177+00:00","IssueDateTime":"2024-11-27T11:41:27.5362177+00:00","LicenseDescription":"Valid License","LicenseStatus":true,"NumbeofInstances":1,"ProductKey":null}     
2025-05-28 12:55:40 675938 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.LicenseManager | CheckServerLicense: Valid License found from license server     
2025-05-28 12:55:40 676198 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | Valid license found     
2025-05-28 12:55:40 677041 |(3d08775eec07)| DEBUG   |[1  ]| TextchatServer.Server | Product Version: 4.3.0.0     
2025-05-28 12:55:40 677162 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | MaxSessionLimitCount: 10     
2025-05-28 12:55:40 677245 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | Loading configs..     
2025-05-28 12:55:40 677313 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: rconfig.*     
2025-05-28 12:55:40 684018 |(3d08775eec07)| INFO    |[1  ]| RConfigProvider.Listener | Config Url : http://+:65500/rconfig_tchat/     
2025-05-28 12:55:40 685869 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: cert.thumb     
2025-05-28 12:55:40 687381 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: rqdrop.limit     
2025-05-28 12:55:40 687645 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: decrypt.enable     
2025-05-28 12:55:40 687769 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | = false     
2025-05-28 12:55:40 687885 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: session.timeout     
2025-05-28 12:55:40 687974 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | = 60 sec.     
2025-05-28 12:55:40 688050 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server | configs: testappsupport     
2025-05-28 12:55:40 688128 |(3d08775eec07)| INFO    |[.NET TP Worker]| RConfigProvider.Listener |  started     
2025-05-28 12:55:40 688329 |(3d08775eec07)| INFO    |[1  ]| TextchatServer.Server |     = true     
