2025-05-29 05:13:36 470773 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server |     = true     
2025-05-29 05:13:36 470927 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: sessionInfo Dll     
2025-05-29 05:13:36 471109 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server |    chat = SessionInfoHandler.SelfServiceHandler, SessionInfoHandler     
2025-05-29 05:13:36 471223 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: callbackbypass     
2025-05-29 05:13:36 471442 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server |     = false     
2025-05-29 05:13:36 471988 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: offlineMode     
2025-05-29 05:13:36 472097 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server |     = false     
2025-05-29 05:13:36 472156 |(1224e7012eff)| INFO    |[.NET TP Worker]| RConfigProvider.Listener |  started     
2025-05-29 05:13:36 472210 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: TMACTimeout     
2025-05-29 05:13:36 473302 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server |     = 10000     
2025-05-29 05:13:36 473463 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: agent.treadlocktimeout = 10000     
2025-05-29 05:13:36 473600 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: blindtransfer.timeout     
2025-05-29 05:13:36 473723 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server |     = 3000     
2025-05-29 05:13:36 473842 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: enable.callagentMsg     
2025-05-29 05:13:36 473984 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server |    = false     
2025-05-29 05:13:36 474124 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: avmonitor     
2025-05-29 05:13:36 474608 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server |     = false     
2025-05-29 05:13:36 475338 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: lockWaitTime : 5000 sec     
2025-05-29 05:13:36 475517 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | configs: reportHandler : true     
2025-05-29 05:13:36 475589 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Server | Initializing SessionQueueManager     
2025-05-29 05:13:36 478218 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.QueueMonitor | QueueMonitor : Initialize() starts     
2025-05-29 05:13:36 478437 |(1224e7012eff)| DEBUG   |[1  ]| TextchatServer.QueueMonitor |  Queue sync is disabled     
2025-05-29 05:13:36 478874 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Customer | configs: system callback enable/disable      
2025-05-29 05:13:36 479488 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Customer |     = false     
2025-05-29 05:13:36 479592 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Customer | configs: customer callback enable/disable     
2025-05-29 05:13:36 479771 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Customer |     = false     
2025-05-29 05:13:36 479909 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Customer | configs: default routepath     
2025-05-29 05:13:36 480016 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Customer |     = wq     
2025-05-29 05:13:36 480147 |(1224e7012eff)| INFO    |[1  ]| TextchatServer.Customer | configs: bypass.csocheck     
